;; locuteur dureedapprentissageGlobal nbdesessionsdapprentissageGlobal dureedapprentissageRepere nbdesessionsdapprentissageRepere dureedapprentissageAutre nbdesessionsdapprentissageAutre
Philippe_MOREAU-DEFARGES 242.91 2 0 0 2 242.91
Manuel_VALLS 697.38 9 2 188.64 7 508.74
Emmanuel_LECHYPRE 683.92 17 0 0 17 683.92
Jacques_BOMPARD 349.45 2 2 349.45 0 0
Francois_BAYROU 691.57 10 1 59.72 9 631.85
Christian_FAURE 176.31 2 0 0 2 176.31
Fabien_LEFORT 344.9 2 2 344.9 0 0
Christophe_JAKUBYSZYN 660.44 15 0 0 15 660.44
Sandrine_MAZETIER 243.68 1 1 243.68 0 0
Christophe_HONDELATTE 707.01 3 0 0 3 707.01
Jacques_CHIRAC 698.94 6 0 0 6 698.94
Ahmed_TAZIR 160.72 4 4 160.72 0 0
Olivier_METZNER 273.8 1 1 273.8 0 0
Martine_AUBRY 685.21 8 0 0 8 685.21
Elisa_BERTHOLOMEY 693.26 18 0 0 18 693.26
Jean-Philippe_MORIN 258.73 3 0 0 3 258.73
Francois_MIQUET-MARTY 1192.37 3 0 0 3 1192.37
Bernard_TAPIE 695.24 10 0 0 10 695.24
Mariette_SINEAU 293.06 1 0 0 1 293.06
Dominique_BERTINOTTI 106.48 9 0 0 9 106.48
Bertrand_MENGUY 308.86 1 1 308.86 0 0
Jean-Yves_CAMUS 131.59 1 1 131.59 0 0
Amgad_SADEK 306.79 1 1 306.79 0 0
Roger_WATERS 703.38 7 0 0 7 703.38
Michel_CREPU 453.87 1 1 453.87 0 0
Nicolas_BOUZOU 266.43 1 1 266.43 0 0
Pascal_BONIFACE 2685.38 7 0 0 7 2685.38
Bertrand_DELANOE 696.83 4 0 0 4 696.83
Roland_MUZEAU 676.55 2 2 676.55 0 0
Blaise_MATUIDI 132.93 3 0 0 3 132.93
Henri_GUAINO 3169.17 7 0 0 7 3169.17
Jean-Noel_GUERINI 666.67 5 0 0 5 666.67
Jacques_GENEREUX 309.62 1 1 309.62 0 0
Francois_DE_CLOSETS 667.32 9 0 0 9 667.32
Emmanuel_SCHWARTZENBERG 188.47 1 1 188.47 0 0
Apolline_DE_MALHERBE 303.95 5 4 205.62 1 98.33
Jean-Christophe_LAGARDE 5424.4 6 0 0 6 5424.4
Patrick_DEVILLE 706.94 1 0 0 1 706.94
Patrick_BRUEL 284.84 2 0 0 2 284.84
Morgane_MERTEUIL 187.37 1 1 187.37 0 0
Fanny_SALMON 520.05 3 0 0 3 520.05
Barack_OBAMA 1324.4 6 0 0 6 1324.4
Samantha_DAVIES 127.1 3 0 0 3 127.1
Nathalie_ARTHAUD 679.78 10 0 0 10 679.78
Ksenia_BOLCHAKOVA 660.12 9 0 0 9 660.12
Julie_ALBET 406.64 7 0 0 7 406.64
Henri_EMMANUELLI 722.04 2 2 722.04 0 0
Daniel_AUTEUIL 700.36 7 0 0 7 700.36
Fabrice_ARFI 4478.61 5 0 0 5 4478.61
Maitena_BIRABEN 496.05 4 0 0 4 496.05
Francois_GIUSEPPI 256.15 1 1 256.15 0 0
Edouard_LECLERC 2922.99 7 0 0 7 2922.99
Julia_DELAGE 124.96 2 2 124.96 0 0
Jacques_VERGES 714.42 8 0 0 8 714.42
Michele_COTTA 684.81 7 0 0 7 684.81
Jo-Wilfried_TSONGA 450.74 4 0 0 4 450.74
Jean-Marc_ROUBAUD 624.57 6 0 0 6 624.57
Harold_HYMAN 684.58 19 0 0 19 684.58
Nicolas_SARKOZY 683.07 8 5 265.35 3 417.72
Philippe_DUFREIGNE 673.37 10 10 673.37 0 0
Gaetan_GORCE 351.21 1 0 0 1 351.21
Pauline_REVENAZ 554.26 8 0 0 8 554.26
Michele_ALLIOT-MARIE 681.19 10 0 0 10 681.19
Emmanuel_COSTE 669.99 8 0 0 8 669.99
Claude_BARTOLONE 714.76 10 0 0 10 714.76
Pierre_CHAPPARD 267.73 1 1 267.73 0 0
Perrine_BAGLAN 175.17 4 0 0 4 175.17
Francois_PATRIAT 624.15 1 1 624.15 0 0
Florence_AUBENAS 690.73 10 0 0 10 690.73
Claude_GOASGUEN 680.85 3 3 680.85 0 0
Frederic_MITTERRAND 695.29 10 1 83.25 9 612.04
Eva_JOLY 667.62 9 3 99.47 6 568.15
Eric_WOERTH 761.46 4 4 761.46 0 0
Camille_BEDIN 812.64 5 0 0 5 812.64
Gerard_LONGUET 181.85 3 3 181.85 0 0
Pierre_LEQUILLER 689.82 8 1 199.98 7 489.84
Natacha_POLONY 676.18 4 0 0 4 676.18
Jean-Louis_BOURLANGES 247.58 1 0 0 1 247.58
Laurent_JOFFRIN 608.49 3 0 0 3 608.49
Melanie_LAURENT 666.35 3 0 0 3 666.35
Antoine_DE_CAUNES 680.56 4 0 0 4 680.56
Virgile_CAILLET 507.6 2 0 0 2 507.6
Jean-Claude_DELARUE 677.67 3 0 0 3 677.67
Tonie_MARSHALL 2560.29 6 0 0 6 2560.29
Silvain_VANOT 73.35 2 0 0 2 73.35
Julien_CLERC 660.83 5 0 0 5 660.83
Catherine_PROCACCIA 665.05 4 0 0 4 665.05
Francois_PUPPONI 672.39 6 1 319.12 5 353.27
Charles_DE_COURSON 717.92 6 2 436.5 4 281.42
Melanie_BERTRAND 663.2 16 0 0 16 663.2
Philippe_JUVIN 132.14 1 1 132.14 0 0
Nicolas_DEMORAND 719.34 11 0 0 11 719.34
Nadine_MORANO 672.93 6 1 116.91 5 556.02
Jean-Francois_JULLIARD 715.01 9 0 0 9 715.01
Gilane_BARRET 376.95 1 1 376.95 0 0
Delphine_BATHO 718.81 4 4 718.81 0 0
Serge_LEPELTIER 718.65 6 0 0 6 718.65
Frederic_SIMOTTEL 672.31 5 0 0 5 672.31
Audrey_TAUTOU 474.01 4 0 0 4 474.01
Rahabi_KA 309.47 7 0 0 7 309.47
Didier_JULIA 419.78 1 0 0 1 419.78
Jean-Remi_BAUDOT 732.26 8 8 732.26 0 0
Nathalie_KOSCIUSKO-MORIZET 702.71 10 3 228.24 7 474.47
Ban_KI-MOON 507.78 2 0 0 2 507.78
Alain_SOUCHON 682.41 7 0 0 7 682.41
Sylvain_COURAGE 710.83 4 1 172.23 3 538.6
