;; locuteur dureedapprentissageGlobal nbdesessionsdapprentissageGlobal dureedapprentissageRepere nbdesessionsdapprentissageRepere dureedapprentissageAutre nbdesessionsdapprentissageAutre
Gerard_BIARD 329.65 1 329.65 1 0 0
Patrick_BERCHE 149.34 1 149.34 1 0 0
Albert-Jean_MOUGIN 134.75 1 134.75 1 0 0
Christophe_CHAMBON 246.54 1 246.54 1 0 0
Gad_ELMALEH 670.43 10 0 0 670.43 10
Celine_PITELET 543.77 3 543.77 3 0 0
Ruth_ELKRIEF 289.85 2 289.85 2 0 0
Franz-Olivier_GIESBERT 671.99 10 0 0 671.99 10
Benoit_THIEULIN 682.69 5 0 0 682.69 5
Guillaume_PAUL 423.98 3 0 0 423.98 3
Milan_POYET 248.92 4 0 0 248.92 4
Ingrid_BETANCOURT 681.32 3 0 0 681.32 3
Christian_ECKERT 680.91 4 680.91 4 0 0
Chantal_JOUANNO 670.61 9 0 0 670.61 9
Dominique_DE_VILLEPIN 731.31 10 0 0 731.31 10
Claire_FLEURY 539.14 10 539.14 10 0 0
Gilles_CARREZ 248.86 2 248.86 2 0 0
Fanny_SALMON 520.05 3 0 0 520.05 3
Francoise_LABORDE 680.9 8 0 0 680.9 8
Eric_HEYER 247.09 1 247.09 1 0 0
Gaetan_GORCE 351.21 1 0 0 351.21 1
Karl_LAGERFELD 616.39 5 0 0 616.39 5
Julien_MIGAUD_MULLER 663.31 16 0 0 663.31 16
Gilbert_COLLARD 716.76 8 0 0 716.76 8
Franck_RIBERY 237.51 4 0 0 237.51 4
Remy_PFLIMLIN 679.4 7 0 0 679.4 7
Thomas_SOULIE 531.43 11 531.43 11 0 0
Thibaut_GIANGRANDE 665.94 17 0 0 665.94 17
Virginie_GOUBIER 571.94 11 37.46 1 534.48 10
Alain_VIDALIES 688.48 10 73.74 1 614.74 9
Marwane_BEN_YAHMED 194.02 1 194.02 1 0 0
Najat_VALLAUD-BELKACEM 668.22 6 0 0 668.22 6
