;;Spk nbSessionREPERE dureeSessionREPERE nbSessionAutre dureeAutre
Adeline_HAZAN 0 0 9 714.56
Adrien_GINDRE 1 46.22 14 637.43
Adrien_THEAUX 0 0 3 385.58
Agnes_VERDIER-MOLINIE 0 0 6 2468.63
Ahmed_JABALLAH 0 0 4 118.18
Ahmed_TAZIR 4 160.72 0 0
Alain-Gerard_SLAMA 0 0 6 425.24
Alain_CHABAT 0 0 8 676.86
Alain_COTTA 1 376.93 5 334.39
Alain_GEST 0 0 2 390.97
Alain_JAKUBOWICZ 0 0 4 77.75
Alain_JOYANDET 1 552.72 2 150.99
Alain_JUPPE 7 568.27 2 133.38
Alain_MADELIN 0 0 11 719.88
Alain_MARECAUX 0 0 2 528.65
Alain_MARSAUD 0 0 3 593.89
Alain_MARSCHALL 9 661.8 0 0
Alain_MINC 0 0 10 686.55
Alain_MOYNE-BRESSAND 0 0 3 672.47
Alain_ROUSSET 0 0 5 673.22
Alain_SOUCHON 0 0 7 682.41
Alain_SUGUENOT 0 0 2 315.86
Alain_VIDALIES 1 73.74 9 614.74
Alain_WEILL 1 238.57 5 469.64
Alassane_OUATTARA 0 0 11 692.68
Albert-Jean_MOUGIN 1 134.75 0 0
Albert_DE_MONACO 0 0 4 715.98
Albert_UDERZO 0 0 10 96.8
Alex_BEAUPAIN 0 0 3 673.73
Alexandre_ADLER 0 0 5 1228.65
Alexandre_DE_JUNIAC 0 0 2 523.78
Alexandre_PARE 0 0 6 342.99
Alexis_BREZET 9 679.84 0 0
Alexis_JENNI 1 43.44 2 347.82
Alexis_PALISSON 0 0 7 562.7
Ali_BADDOU 0 0 11 701.63
Alou_DIARRA 0 0 9 682.36
Aly_EL-SAMMAN 1 130.99 0 0
Amaury_LEVEAUX 0 0 2 155.78
Amel_SAADI 0 0 18 668.37
Amgad_SADEK 1 306.79 0 0
Anais_GOUBATIAN 0 0 18 664.97
Andre_CHASSAIGNE 1 120.05 8 553.18
Andre_DUSSOLIER 0 0 4 399.95
Andre_PACCOU 0 0 4 6038.7
Andre_SANTINI 0 0 10 697
Andy_SERKIS 0 0 10 1548.54
Angela_MERKEL 0 0 3 778.01
Ani_BASAR 0 0 18 688.06
Anicet_MBIDA 1 242.17 0 0
Anita_HAUSSER 4 373.18 0 0
Anne-Marie_IDRAC 0 0 3 723.17
Anne_GIUDICELLI 0 0 3 946.89
Anne_LAUVERGEON 0 0 5 1655.96
Anne_MANSOURET 0 0 3 600.88
Annick_LEPETIT 1 100.05 2 136.54
Anny_POURSINOFF 1 415.89 3 273.34
Antoine_BASBOUS 0 0 6 2961.92
Antoine_DELPIERRE 0 0 17 687.97
Antoine_DE_CAUNES 0 0 4 680.56
Antoine_GLASER 1 288.41 0 0
Antoine_POLLEZ 0 0 17 672.7
Apolline_DE_MALHERBE 4 205.62 1 98.33
Ariane_NICOLAS 0 0 14 668.22
Arlette_CHABOT 0 0 7 710.44
Arlette_LAGUILLER 0 0 8 687.18
Armelle_SEMONT 0 0 5 252.93
Arnaud_ARDOIN 7 690.56 0 0
Arnaud_LAGARDERE 0 0 1 407.37
Arnaud_MONTEBOURG 4 723.9 0 0
Arnaud_VIVIANT 1 564.77 0 0
Asma_GUENIFI 0 0 2 632.17
Audrey-Sophie_NACASS 1 172.83 0 0
Audrey_TAUTOU 0 0 4 474.01
Aurelie_FILIPPETTI 2 230.71 8 468.9
Aurelie_MARCIREAU 0 0 15 683.54
Aurelien_DE_NEGRI 0 0 7 374.64
Aurelien_ROMANO 0 0 9 541.67
Aurore_TEBOUL 0 0 3 213.19
Axel_KAHN 0 0 4 693.39
Axel_PONIATOWSKI 0 0 10 674.13
Aymeric_BARRAULT 2 125.55 0 0
Azouz_BEGAG 0 0 2 665.17
Ban_KI-MOON 0 0 2 507.78
Barack_OBAMA 0 0 6 1324.4
Barbara_POMPILI 0 0 5 3091.97
Ben_AFFLECK 0 0 3 335.55
Benjamin_BIOLAY 0 0 6 716.87
Benjamin_DUBOIS 0 0 16 676.64
Benoist_APPARU 2 129.41 5 581.72
Benoit_FARACO 0 0 3 324.46
Benoit_HAMON 4 628.14 1 70.33
Benoit_HARTMANN 1 183.3 0 0
Benoit_LORDELOT 0 0 19 674.14
Benoit_THIEULIN 0 0 5 682.69
Berenice_MARLOHE 0 0 3 476.65
Bernadette_CHIRAC 0 0 6 677.75
Bernadette_GROISON 0 0 4 1612.89
Bernard-Henri_LEVY 1 295.34 6 426.35
Bernard_ACCOYER 4 177.7 5 549.44
Bernard_BIGOT 1 244.74 0 0
Bernard_CAZEAU 0 0 1 296.1
Bernard_CAZENEUVE 2 644.94 1 75.53
Bernard_DEBRE 1 375.85 4 300.78
Bernard_DEROSIER 1 640.01 0 0
Bernard_EMSELLEM 0 0 2 718.47
Bernard_HINAULT 0 0 3 716.67
Bernard_HOUDIN 1 188.1 7 521.74
Bernard_KOUCHNER 1 37.8 6 624.6
Bernard_LAPORTE 1 261.97 7 432.65
Bernard_MARIS 0 0 1 694.54
Bernard_PIVOT 0 0 10 661.41
Bernard_ROMAN 0 0 6 1069.63
Bernard_TAPIE 0 0 10 695.24
Bernard_THIBAULT 0 0 1 690.87
Bertrand_DELANOE 0 0 4 696.83
Bertrand_MENGUY 1 308.86 0 0
Bertrand_PICCARD 0 0 3 333.66
Bertrand_TAVERNIER 0 0 9 1994.1
Beth_DITTO 0 0 5 105.89
Betty_LACHGUER 0 0 16 663.29
Blaise_MATUIDI 0 0 3 132.93
Boutros_BOUTROS-GHALI 0 0 4 710.92
Brahim_ASLOUM 0 0 5 1028.06
Brice_HORTEFEUX 0 0 2 689.14
Brice_LALONDE 0 0 1 396.6
Brigitte_BOUCHER 9 668.8 0 0
Bruce_TOUSSAINT 0 0 6 718.99
Bruno_BESCHIZZA 1 208.4 3 420.72
Bruno_GOLLNISCH 0 0 10 662.41
Bruno_JEUDY 2 686.25 0 0
Bruno_JULLIARD 2 625.22 1 73.28
Bruno_LE_MAIRE 3 179.02 8 538.89
Bruno_LE_ROUX 0 0 10 3568.9
Bruno_MEGRET 0 0 8 700.19
Bruno_RETAILLEAU 0 0 12 719.38
Bruno_SOLO 0 0 6 488.19
Camille_BEDIN 0 0 5 812.64
