BFMTV_BFMStory_2012-07-27_175800 167.01 174.576 Olivier_TRUCHOT  28 5 7.566 7.07000000000005 0.360000000000014 0.151515151515152 0.0475812846946886 ce(2) soir ce(2) qu' il faut retenir(2) dans l' actualité Frédéric_De_Lanouvelle(3) bronson à vrai dire il y a plus que(2) quelques(3) heures avant l' ouverture des jeux(2) olympiques 
BFMTV_BFMStory_2012-07-27_175800 174.576 184.336 Frederic_DE_LANOUVELLE  32 3 9.76 9.13399999999999 0.625999999999976 0.0857142857142857 0.0641393442622927 qu' elle la cérémonie(4) débutera(2) le vingt deux(2) heures heure française nous sommes(4) en direct et pierrette(2) pierrick(2) prennent(2) en direct du club france pierrick(2) dernière(3) ligne droite pour les(2) athlètes tricolores 
BFMTV_BFMStory_2012-07-27_175800 184.914 217.733 Pierrick_TAISNE  123 20 32.819 29.6699999999999 3.09300000000005 0.13986013986014 0.0942441878180336 la dernière ligne droite(2) pour les(2) athlètes français vous avez dit alors qu' ils ne(2) sont pas lin soit certains se(2) prépare tout simplement pour leurs(2) épreuves(3) d' autres tout peut se(2) prépare mentalement(2) pour cette cérémonie(4) d' ouverture tout(2) à l' heure vous l' avez dit à partir de(2) vingt deux(2) heures alors nous(2) avons croisé tout(2) à leur Laura_Flessel Laura_Flessel qui sera la porte-drapeau de(2) cette délégation(4) française(2) tout(2) à l' heure hier on(2) a pu voir notamment(2) en toute cette semaine(2) on(2) a pu voir notamment de(2) défiler(2) au club france de(2) nombreux(2) athlètes(2) dit riner les basketteurs léandre valeurs avec notamment heu Nikola_Karabatic(2) ou encore de Jo-Wilfried_Tsonga de Jo-Wilfried_Tsonga au micro de deux julien richard(2) nous(2) avons rencontré hier 
BFMTV_BFMStory_2012-07-27_175800 219.166 240.11 Jo-Wilfried_TSONGA  46 18 20.944 10.2100000000001 7.63999999999999 0.28125 0.364782276546982 tous les sportifs vion que ça se voit(2) comme des enfants non non je pense que c' est des choses qu' on dans(2) une vision de(2) se rendre(2) dans son calme(2) peut -on(2) lire le(2) défilé(2) on(2) a déjà comment elle aussi j' imagine même pas 
BFMTV_BFMStory_2012-07-27_175800 240.11 271.705 Pierrick_TAISNE  126 18 31.595 28.9600000000001 2.55000000000004 0.125 0.0807089729387574 alors le(2) numéro un français un va vivre(2) ce(2) rêve de(2) gosse il fera partie avec d' autres(2) athlètes dont quatre qui défileront toute valeur au stade olympique d' autres(2) sont restés tranquillement(2) à se(2) préparer(3) tout simplement parce qu' une scène(3) d' ouverture sélom c' est fatiguant et préfèrent(3) se(2) concentrer pleinement(2) sur l' entrée en compétition dès demain pour certains d' entre eux il faut savoir également(3) qu' au club france tout(2) à l' heure c' est le(2) premier ministre(2) monsieur ayrault qui est venue donc saluer et encourager ses(2) équipes(4) de(2) france accompagné du ministre des sports madame fourniront ces deux personnalités se(2) rendront ensuite(2) au stade olympique pour représenter la france tout-terrain la cérémonie d' ouverture à partir de(2) vingt deux(2) heures 
BFMTV_BFMStory_2012-07-27_175800 271.705 300.34 Frederic_DE_LANOUVELLE  100 9 28.635 26.7500000000001 1.70000000000005 0.0825688073394495 0.0593679064082432 si beaucoup(2) a été(2) nommé recteur de(2) l' eau vous(2) êtes avec(2) jean-marc brio(2) et vous nous parliez justement de Jean-Marc_Ayrault le(2) premier ministre qui a été(2) qui a reçu en ce moment même à buckingham palace par la reine(2) tout comme la centaine de(2) chefs d' états(3) et de gouvernement qui assisteront à la cérémonie(4) d' ouverture(2) ce(2) soir le(2) premier ministre(2) qui était(4) telle heure en direct sur bfm tv vous savez les français à pékin(2) avait décroché(2) quarante-et-une médailles(2) dont sept en(2) or eh bien il espère(5) que(2) cette(3) fois les(2) athlètes feront(2) encore mieux écoutez le(2) 
BFMTV_BFMStory_2012-07-27_175800 301.865 309.231 Jean-Marc_AYRAULT  29 5 7.366 6.20099999999991 1.04000000000002 0.147058823529412 0.14118924789574 moi je(2) souhaite bien sûr qu' ils fassent mieux qu'à pékin même si à pékin(2) quarante médailles c' était bien mais je(2) souhaitais davantage de(2) médailles d' or de 
BFMTV_BFMStory_2012-07-27_175800 309.231 310.007 Christophe_JAKUBYSZYN  4 0 0.776 0.609999999999957 0 0 0 la ville sainte du 
BFMTV_BFMStory_2012-07-27_175800 310.007 332.302 Jean-Marc_AYRAULT  68 23 22.295 16.7029999999999 5.55199999999996 0.252747252747253 0.249024444942811 parole mangé mais le(2) travail qui a été fait formidable en est une superbe préparation je(2) sais l' effort(2) que(2) sa demande(3) de(2) individuelle(2) bossi collectif(2) consacré le soutien technique je ne pense pas tout ce que(2) fait le(2) mouvement(2) sportif français et le mouvement(2) olympique et sportif français et donc je(2) suis très confiant à un moment où ces jeux sont(2) en vont être ouverts à londres 
BFMTV_BFMStory_2012-07-27_175800 332.302 344.063 Frederic_DE_LANOUVELLE  46 3 11.761 11.4900000000001 0.149999999999977 0.0612244897959184 0.0127540175155155 et ces Danny_Boyle le(2) cinéaste(4) qui organisent la cérémonie d' ouverture l' oscar du meilleur(2) réalisateur pour le(2) film se noue de(2) millionnaire(2) il a disposé d' un budget de(2) trente quatre millions d' euros et il nous livre(2) ses dernières(11) impressions quelques(7) heures à coudre 
BFMTV_BFMStory_2012-07-27_175800 344.696 349.418 Danny_BOYLE  17 3 4.722 4.12 0.430000000000007 0.15 0.0910631088521827 et c' est six(3) heures ce(2) sera un spectacle(4) en live donc tout repose sur les(2) acteurs 
