BFMTV_BFMStory_2012-11-08_175800 258.597 314.699 Olivier_TRUCHOT  185 28 56.102 49.55 5.94000000000005 0.131455399061033 0.105878578303805 bonsoir à tous(2) à la femme est(2) déjà(2) venu(2) merci de(2) votre(2) fidélité(2) nous sommes en(2) direct jusqu'à dix-neuf heures à la une(2) de l' effet mesurer(2) ce(2) soir l' immense pagaille hier soir sur le(2) réseau(2) sncf en région parisienne(2) cinquante mille(2) voyageurs bloqués deux conducteurs blessés(3) agressés(2) par des voyageurs l' un des conducteurs est toujours hospitalisé et puis le(2) ministre des temps forts qui demandent des(2) explications sncf ce(2) soir témoignages(3) réactions dans les faits(2) historiques on se(2) plus ou moins sur les routes le(2) mois d' octobre a connu une(2) très forte baisse(2) de(2) la mortalité routière moins seize pour cent nous ferons le(2) bilan avec le(2) délégué(4) et interministérielle à la sécurité(2) routière(3) Frédéric_Péchenard(2) la pauvreté en france et touche de(2) plus(3) en plus(3) de(2) femmes principal enseignement(2) du rapport annuel du secours catholique son président(2) non(2) invité et puis la chine qui change(2) il y(5) aura l' occasion du dix-huitième congrès du parti communiste(2) chinois quel est le(2) nouvel homme fort de(2) la dixième puissance économique(3) du monde nous sommes en direct avec(2) en ce(2) sens dans des femmes(4) 
BFMTV_BFMStory_2012-11-08_175800 330.109 340.291 Olivier_TRUCHOT  42 4 10.182 9.79000000000025 0.370999999999981 0.0869565217391304 0.0364368493419742 bfm tv dix(3) huit(2) heures bonsoir chez la marquise des(2) anges(2) à retenir(2) ce(2) soir dans l' actualité tout d' abord cinquante mille voyageurs qui ont été bloqués hier soir jusqu'à tard dans la nuit pour certains dans les gares et trains 
BFMTV_BFMStory_2012-11-08_175800 332.3 332.821 Rachid_M_BARKI  3 0 0.521 0.430000000000007 0 0 0 des(2) anges(2) à 
BFMTV_BFMStory_2012-11-08_175800 340.291 362.298 Rachid_M_BARKI  77 15 22.007 19.6500000000002 2.16899999999998 0.16304347826087 0.0985595492343338 ça fait des vagues et ça continue à faire de(2) vagues et je(2) t' avais commencé par une panne électrique(7) puis des voyageurs qui sont descendus sur les voies la sncf explique(3) avoir été dans l' obligation de beaucoup(2) de courant par sécurité(2) entraînant évidemment cette paralysie mais les(2) esprits se(2) sont(2) aussi échauffe les deux(2) agents de la sncf ont(2) été agressés julio caro une boisson rencontre aujourd'hui une témoin(2) d' une des deux(2) agressions écoutez 
BFMTV_BFMStory_2012-11-08_175800 396.462 406.838 Rachid_M_BARKI  33 3 10.376 9.84999999999997 0.427999999999997 0.0833333333333333 0.0412490362374708 et ce(2) soir le(2) gouvernement demande des(2) explications à la sncf à propos de(2) cet immense pagaille Graziella_Rodrigues vous(2) êtes(4) au ministère des transports pour bfm tv le(2) ministre souhaite(2) un rapport détaillé 
BFMTV_BFMStory_2012-11-08_175800 408.563 437.498 Graziella_RODRIGUES  98 24 28.935 26.08 2.70799999999991 0.19672131147541 0.0935890789701024 un rapport pour comprendre ce(2) qui s' est passé comment les(2) événements se(2) sont enchaînés et surtout pour comprendre comment un simple(2) problème d' alimentation électrique(3) a pu prendre de(2) telles proportions alors fallait -il(2) vraiment stoppé tout le(2) trafic à l' origine d' ailleurs de(2) cette panne électrique(7) pour quelles(2) raisons(3) les voyageurs sont(2) descendus(2) sur les voix l' ont -ils(2) fait à la demande des(2) agents sncf comme certains l' avancent autant de questions(3) qui se(2) pose toujours ici ce(2) soir je(2) propose d' écouter(3) les précisions(2) du ministre(2) des(2) transports Frédéric_Cuvillier au micro de(2) Damien_Lebouc 
BFMTV_BFMStory_2012-11-08_175800 438.366 451.158 Frederic_CUVILLIER  34 13 12.792 9.59999999999997 3.0200000000001 0.276595744680851 0.236085053158231 aujourd'hui il est trop tôt pour savoir si le(2) régime(4) de(2) cette panne(2) est due par un manque(2) de(2) de(2) à la fois de(2) modernisation et d' entretien de(2) l' ensemble de(2) ce(2) réseau 
BFMTV_BFMStory_2012-11-08_175800 452.481 465.789 Graziella_RODRIGUES  54 7 13.308 11.9399999999999 1.20000000000005 0.114754098360656 0.0901713255184885 de(2) nouvelles mesures d' alerte pourrait donc être(2) envisagée par la suite pour éviter qu' un tel scénario(2) se(2) reproduise par ailleurs ça chez eux en ce qui concerne le(2) conducteur qui avait été(2) agressé(2) conduit à l' hôpital qu' il va bien il a pu quitter l' hôpital quelques(3) heures après son(2) admission 
BFMTV_BFMStory_2012-11-08_175800 465.789 469.171 Rachid_M_BARKI  14 1 3.382 3.30099999999999 0.0610000000000355 0.0666666666666667 0.018036664695457 regarde(3) et non(2) en liaison directe du ministère des transports pour bfm tv et 
BFMTV_BFMStory_2012-11-08_175800 469.171 484.927 Olivier_TRUCHOT  57 10 15.756 14.567 1.13 0.149253731343284 0.0717187103325714 alors j' espère ration la colère des clients(3) de(2) la sncf nous(2) en parlerons(2) dans(2) un(2) instant avec le(2) vice président(2) de(2) la fédération nationale des(2) usagers des transports en(2) île-de-france il goûte ryman(2) invités sur le(2) plateau de(2) belles femmes(4) tories dans l' actualité également(7) ce(2) soir la mortalité routière qui est(3) en forte(3) baisse mode(2) 
BFMTV_BFMStory_2012-11-08_175800 484.927 496.062 Rachid_M_BARKI  36 7 11.135 9.83999999999997 1.23200000000003 0.162790697674419 0.1106421194432 les fortes(2) baisses(2) évidemment(3) moins quinze virgule sept pour cent cela(2) signifie que(2) cinquante cinq mille huit ont(2) été(2) épargnés par rapport au mois d' octobre(2) de(2) l' année dernière en octobre deux mille(2) ce soir 
BFMTV_BFMStory_2012-11-08_175800 496.062 499.874 Olivier_TRUCHOT  13 0 3.812 3.74000000000001 0 0 0 dans l' orne une(2) fillette de(2) quatre ans gravement(2) blessée(2) par ses vêtements(2) 
BFMTV_BFMStory_2012-11-08_175800 499.874 514.562 Rachid_M_BARKI  54 7 14.688 13.7260000000001 0.819999999999993 0.114754098360656 0.0558278867102392 r quand il s' agit d' un tee-shirt et d' une jupe provenant(3) de(2) chine(2) de(2) vêtements(2) qui lui ont causé une très grave allergie(2) à la même dû être hospitalisé d' urgence ce(2) sont certains produits chimiques utilisés dans la fabrication de(2) ses vêtements(2) qui sont apparemment dangereux(3) écoutez le(2) témoignage de(2) son 
BFMTV_BFMStory_2012-11-08_175800 515.526 519.224 David_BRUNET  15 2 3.698 3.27000000000021 0.240000000000009 0.117647058823529 0.0648999459167142 c' était son menu à salonique(3) les vêtements(2) qui voudrait le faire par sa tante 
BFMTV_BFMStory_2012-11-08_175800 520.029 524.238 David_BRUNET  14 3 4.209 2.82999999999993 0.727999999999952 0.176470588235294 0.172962698978368 donc là vous deux(2) ici tout de suite dans pathé avait un bien sûr 
BFMTV_BFMStory_2012-11-08_175800 524.859 534.775 David_BRUNET  25 12 9.916 6.60000000000002 2.64999999999998 0.324324324324324 0.267244856797093 les(2) apprentis toute la journée d' essais le(2) lendemain(2) dès le(2) lendemain(2) qu' apparurent les titres et les gouffres contrairement(2) surtout quand essentiellement(7) son visage 
BFMTV_BFMStory_2012-11-08_175800 534.775 538.027 Rachid_M_BARKI  11 4 3.252 2.54999999999995 0.701999999999884 0.266666666666667 0.215867158671551 voilà c' est le(2) réveil normand qui avait révélé(2) cette affaire 
BFMTV_BFMStory_2012-11-08_175800 538.027 552.209 Olivier_TRUCHOT  52 6 14.182 13.3200000000003 0.769000000000005 0.103448275862069 0.0542236637991824 françois fillon devrait quitter l' hôpital vendredi l' ancien(2) premier ministre a été admis hier soir au val-de-grâce à paris pour des calculs rénaux pris de douleurs hier soir il avait dû annuler la réunion publique qui devait se(2) tenir à mon(2) sens il a rapidement(3) regagné(2) paris pauline de(2) saint rémi 
BFMTV_BFMStory_2012-11-08_175800 553.283 579.58 Pauline_DE_SAINT_REMY  88 17 26.297 22.97 3.22000000000025 0.161904761904762 0.122447427463218 décidément(5) François_Fillon a souffert jusqu' au bout après(2) une première alerte(2) début(2) octobre il avait dû annuler un meeting en(2) isère à cause d' une politique mais critique il est(3) hospitalisé au val-de-grâce à paris jusqu'à vendredi pour un problème(2) de(2) calculs rénaux ses détracteurs(2) ne(2) peuvent s' empêcher d' y voir un symbole alors que(2) cet(2) été(2) il avait déjà(2) commencé sa campagne le(2) pied dans le plâtre(2) à la suite(2) d' un(2) accident de scooter mais cette fois -là François_Fillon c' en(2) était(4) tiré avec(2) humour 
BFMTV_BFMStory_2012-11-08_175800 579.58 589.568 Francois_FILLON  6 12 9.988 1.70999999999992 7.86000000000001 0.666666666666667 0.786944333199841 encore deux(2) ce faisant ils il 
BFMTV_BFMStory_2012-11-08_175800 590.367 598.252 Francois_FILLON  9 7 7.885 2.37 3.53000000000009 0.4375 0.447685478757145 nous demandent de onze jours on va il faut 
BFMTV_BFMStory_2012-11-08_175800 598.804 623.092 Pauline_DE_SAINT_REMY  85 17 24.288 21.4400000000001 2.56999999999994 0.166666666666667 0.105813570487481 rien(2) à gaston François_Fillon que(2) la suggestion que sa santé pourrait(2) être un frein à sa campagne pour éviter(3) les commentaires une semaine du vote pour la présidence(3) de(2) l' ump son(2) équipe(3) assure qu' il retournera sur le(2) terrain(2) dès ce week-end(2) et rappelle(2) que(2) françois fillon en(2) a vu d' autres au début(2) de son mandat le(2) locataire de(2) matignon avait souffert de(2) graves problèmes de(2) dos rien de(2) psychosomatique assurait -il(2) mais(2) il avait tout de même songé à abandonner ses fonctions 
BFMTV_BFMStory_2012-11-08_175800 623.975 651.897 Rachid_M_BARKI  104 14 27.922 25.9999999999998 1.7399999999999 0.11864406779661 0.0623164529761441 les sénateurs communistes ou convoqué à matignon pour une séance(3) d' explication la nuit dernière c' est le sénateur communiste ainsi que(2) des centristes(2) et ump ont(2) uni leurs voix pour retoqué le(2) projet de loi de(2) programmation budgétaire nous serons(3) en mesure(4) de(2) matignon à dix(3) huit(2) heures trente François_Hollande était ce matin à chelles près de paris pour la signature des douze premiers emplois d' avenir(2) le(2) gouvernement entend ainsi créer cent cinquante mille emplois devenir(2) d' ici deux mille quatorze dix mille dès l' an prochain l' objectif(2) est de(2) réduire(3) le(2) chômage des jeunes écouter le chef de l' état(2) 
BFMTV_BFMStory_2012-11-08_175800 653.833 655.312 Francois_HOLLANDE  3 0 1.479 1.32000000000005 0 0 0 la première exigence(3) 
BFMTV_BFMStory_2012-11-08_175800 655.916 657.494 Francois_HOLLANDE  3 1 1.578 1.29999999999995 0.100000000000023 0.25 0.063371356147036 une exigence(3) morale 
BFMTV_BFMStory_2012-11-08_175800 657.999 664.032 Francois_HOLLANDE  14 6 6.033 4.64999999999986 1.17999999999984 0.3 0.195590916625201 une exigence(2) économique une exigence(3) sociale c' est de(2) réduire(3) le(2) chômage(2) des jeunes 
BFMTV_BFMStory_2012-11-08_175800 664.847 666.537 Francois_HOLLANDE  4 1 1.69 1.38999999999999 0.0900000000000318 0.2 0.0532544378698413 la jeunesse(2) ça été(2) 
BFMTV_BFMStory_2012-11-08_175800 667.501 669.938 Francois_HOLLANDE  7 3 2.437 1.66999999999996 0.717999999999961 0.3 0.294624538366828 la grande ambition que(2) j' ai porté 
BFMTV_BFMStory_2012-11-08_175800 670.714 672.954 Francois_HOLLANDE  7 1 2.24 1.99000000000001 0.110000000000014 0.125 0.0491071428571489 tout(2) au long de(2) la campagne présidentielle 
