LCP_CaVousRegarde_2012-09-19_002500 327.677 398.315 Arnaud_ARDOIN  253 50 70.638 63.3430000000003 7.23500000000024 0.165016501650165 0.102423624677939 bonsoir à tous(2) ravie de vous retrouver(3) dans ça vous regarde(3) regarder cette(2) image un peu originale leur pas celle(3) -ci parce que(2) ces Jean-François_Copé qui qui est(3) aussi de(2) l' ump mais l' autre regarder assez Bruno_Le_Maire avec une petite cage est(3) aurenche qui va déposer(3) ces parrainages c' est une image(2) à la fois original et unique dans l' histoire de(2) la droite en france on va parler ce(2) soir vous l' aurez compris évidemment de(2) cette bataille pour la présidence(4) de l' ump c' est(3) un duel en sans véritable(3) surprise contre(2) Jean-François_Copé et françois fillon on(2) en parle ce(2) soir c' est une bataille de chiffres une bataille de(2) parrainage(3) une bataille de(2) personnalités c' est pas vraiment une bataille d' idées certains déplorent(2) on va en parler évidemment(3) dans quelques(7) instants et on parlera(2) Nicolas_Sarkozy parce que(2) il est le chouchou des sympathisants dans les dans les sondages le(2) sondage Eva_Joly sympathisants disent que(2) c' est lui en deux mille dix-sept qui sera(2) là et il reviendra peut(2) être on va en parler évidemment(3) dans quelques(3) instants joop van dyke suscite lcp point fr le jdd point fr sur lequel(2) vous poser chaque soir vos questions(3) dès ce(2) soir vous(2) avez été(2) nombreux je fais monter le suspense à répondre à qui des deux autres(2) heu François_Fillon l' Jean-François_Copé je(2) retour lafaille et le(2) le(2) meilleur(2) dit(2) il y(5) a un son(2) agilité vous(2) allez le découvrir(2) dans quelques(3) instants quatre invités sont(2) avec(2) moi d'abord Jean_Leonetti bonsoir 
LCP_CaVousRegarde_2012-09-19_002500 398.315 398.897 Jean_LEONETTI  1 0 0.582 0.430000000000007 0 0 0 bonsoir 
LCP_CaVousRegarde_2012-09-19_002500 398.897 415.442 Arnaud_ARDOIN  53 10 16.545 14.835 1.69 0.158730158730159 0.102145663342399 merci(2) d' avoir répondu(2) à notre invitation députées e ump si un ministre en charge des affaires(4) européennes(6) vous(2) appartenez -vous(2) écrit(3) ce courant humaniste on(2) en parlera(2) peut(2) être et vous défendez(2) -vous de(2) tous côtés François_Fillon dans cette bataille on(2) écoutera(2) vos(2) arguments merci d' être(2) la face avouent Franck_Riester bonsoir 
LCP_CaVousRegarde_2012-09-19_002500 415.442 416.051 Franck_RIESTER  1 1 0.609 0.399999999999977 0.180000000000007 0.5 0.295566502463065 bonsoir 
LCP_CaVousRegarde_2012-09-19_002500 416.051 459.105 Arnaud_ARDOIN  130 35 43.054 37.3090000000002 5.6699999999999 0.212121212121212 0.131695080596458 cultivé et puis de(2) de(2) seine-et-marne(3) vous défendez(2) Jean-François_Copé je rappelle que vous avez été(2) directeur de campagne aux(2) élections(7) européennes en deux mille neuf merci d' être dans les bras(2) vos(2) arguments pour pour défendre(3) évidemment(3) votre candidat que avec(2) nous sur ce plateau Guillaume_Petit bonsoir le secrétaire(3) national à à l' ump et vous lancez votre courant la droite forte et je le cite acquiert fondation non négociable si le sarkozysme on reviendra(2) évidemment(3) sur ce(2) courant vous(2) affichez une neutralité mais certains disant les couloirs on croise entre le sujet vous(2) êtes finalement(3) plus proche de(2) Jean-François_Copé que(2) deux François_Fillon écoutera(2) évidemment(3) vous vous(2) argument je rappelle que(2) c' est le(2) monsieur sondages(2) dans cette campagne présidentielle(5) aux côtés de(2) nicolas(2) sarkozy qui enfin rythme Christine_Clerc bonsoir 
LCP_CaVousRegarde_2012-09-19_002500 423.992 425.047 Franck_RIESTER  3 1 1.055 0.970000000000027 0.0480000000000018 0.25 0.0454976303317553 bras(2) vos(2) arguments 
LCP_CaVousRegarde_2012-09-19_002500 430.525 431.353 Guillaume_PELTIER  2 1 0.828 0.552999999999997 0.25 0.333333333333333 0.301932367149758 le secrétaire(3) 
LCP_CaVousRegarde_2012-09-19_002500 459.105 459.616 Christine_CLERC  2 1 0.511 0.339999999999975 0.125 0.333333333333333 0.244618395303327 ça a 
LCP_CaVousRegarde_2012-09-19_002500 459.616 501.1 Arnaud_ARDOIN  139 31 41.484 36.174 5.1099999999999 0.182352941176471 0.123180021212995 été(2) journaliste éditorialiste(4) on se souvient de(2) votre carnet intime de(2) nicolas(2) sarkozy city en deux mille neuf on(2) écoutera(2) le point de vue parce qu' il se passe quelque chose à droite c' est la première fois il y(5) a déjà un(2) début(2) de(2) démocratisation(2) pour eux et désigne(2) une(2) mais le(2) président(6) de ce(2) parti qu' avant c' était va être(3) entendu dire un(2) il est comme ça qu' on connaît le(2) nom du candidat c' est(3) peut-être(3) en tant que ça durait là les choses semblent(2) évoluer qu' on va reparler(2) dans quelques(7) instants regarder ce(2) ce(2) sujet je me présente milicent(2) médecin(2) de citoyenne(3) juste après ce jeune Germain_Andrieux qui revient tout simplement sur cette bataille entre(2) les les deux(2) hommes sans compter quelques(6) ténors(2) qui ont essayé(2) de jouer les trouble-fête regarder(3) ce(2) sujet 
LCP_CaVousRegarde_2012-09-19_002500 503.201 530.689 Germain_ANDRIEUX  79 20 27.488 22.7690000000003 4.67999999999995 0.202020202020202 0.170256111757856 jean-françois copé et françois fillon côte à côte c' était début(2) deux mille douze autrement dit il y(5) a une éternité(3) et tous les deux sont(2) aujourd'hui candidats pour la présidence(3) du parti pour le(2) moment mais pour être sur la ligne de(2) départ(2) une condition obligatoire sept mille neuf cent vingt quatre parrainages une formalité pour Jean-François_Copé françois fillon encore l' Xavier_Bertrand mais le(2) troisième(3) homme qualifié a finalement(3) jeté l' éponge(3) sans renoncer à deux mille décès(2) 
LCP_CaVousRegarde_2012-09-19_002500 530.689 535.455 Xavier_BERTRAND  14 6 4.766 3.56999999999994 1.14999999999998 0.3 0.24129248845992 je(2) serai(2) candidat à la primaire(3) pour l' élection(4) présidentielles deux mille dix-sept ans 
