LCP_LCPActu14h_2013-01-09_135400 717 746.912 Daniel_FASQUELLE  93 25 29.912 24.5500000000005 5.11000000000013 0.211864406779661 0.170834447713297 maintenant ils l' ont alors on n' est pas allé jusqu'à traiter(3) de la question(2) d' intentions de(2) de(2) de(2) reversion sélectionné(2) pas prévu pour pour le(2) pour le(2) pacs(2) en silence a des conséquences(4) successoral(2) les(2) alliés ont la possibilité à travers un(2) acte notarié de d' accorder libéralités(3) vot aléa lié à l' autre(2) personne qui se(2) trouve dans dans dans dans le(2) couple il y(5) a donc là beaucoup de(2) beaucoup de souplesse ont été(2) offertes par l' avion civil et la possiblité d' aménager bien(2) évidemment(3) des conséquences(3) graves 
LCP_LCPActu14h_2013-01-09_135400 744.657 753.619 Brigitte_BOUCHER  32 9 8.962 6.91999999999996 1.91999999999996 0.219512195121951 0.214237893327378 maintenant ils l' ont laissé sur la forme et et alors qu' en réalité(2) surtout l' importance(2) qu' il n' y(5) a plus l' adoption de(2) ce(2) n' est pas aussi graves 
LCP_LCPActu14h_2013-01-09_135400 753.619 798.408 Daniel_FASQUELLE  176 29 44.789 39.231 5.48999999999978 0.141463414634146 0.122574739333314 si tu ne(2) le pensais surtout sur le(2) fond parce que(2) on répond à des(2) attentes des couples homosexuels le real(2) de(2) très nombreux couples homosexuels(2) les heures qui m' ont écrit en lisant médiation nous on ne souhaite pas forcément le(2) mariage et on ne souhaite pas surtout le mariage(2) la filiation par contre(2) une proposition comme l' alliance civique nous voient nous convient(2) parfaitement(2) et donc c' est(3) une solution de(2) bon sens(2) qui peut rassembler une majorité de français alors évidemment(3) il y(5) a ceux qui veulent quoiqu' il arrive le(2) mariage(2) homosexuel(2) avec ses conséquences(3) en matière de(2) filiation mais sont très minoritaires et ceux qui quoi qu' il y(5) a eu lieu qu' ils ne(2) veulent surtout que(2) rien ne change qui trouve ben(2) déjà(2) que le(2) pacs(2) est trop mais il y(5) a l' immense majorité de français qui sont d' accord pour se(2) retrouver autour d' une proposition de(2) de(2) bon sens(2) qui apporte une réponse aux couples homosexuels(2) mais qui appelle aussi les tensions dans la cité française(2) 
LCP_LCPActu14h_2013-01-09_135400 798.408 803.829 Brigitte_BOUCHER  19 4 5.421 4.17100000000016 1.25 0.173913043478261 0.230584762958864 et quelle forme va prendre cette(3) initiative(2) il y(5) a une proposition de loi qui a eu les larmes 
LCP_LCPActu14h_2013-01-09_135400 801.553 851.256 Daniel_FASQUELLE  197 36 49.703 43.3969999999994 6.2199999999998 0.15450643776824 0.125143351507953 proposition de loi qui a eu les larmes position was dès le mois de novembre c' est vrai qu' on(2) a eu un(2) petit(3) peu de mal à nous faire entendre(2) je suis re(2) de(2) de(2) voir qu' aujourd'hui c' est le(2) groupe ump qui dans son(2) ensemble reprend sous la forme d' amendement(2) mot pour mot ma proposition de(2) de(2) de(2) lois et donc c' est tout l' ump qui va se retrouver dans le cas des débats(2) en commission puis dominici pour défendre(2) l' alliance civile sous la forme d' un(2) amendement(2) qui sera(2) d' ailleurs étudier à fond l' article(2) premier c' est dire que(2) avant qu' on(2) étudiera le mariage pour tous(2) on débattra de l' alliance l' idée c' est(3) une bonne chose parce que(2) si les(2) densifie pouvaient(2) être(2) retenues(2) celles vitré évidemment(3) d' aller plus loin dans dans le texte et je(2) m' adresse non seulement(3) aux députés(3) ump dépité(2) huit pilules dei(2) mais également(7) aux députés(3) de(2) la majorité je(2) sais qu' un certain(2) nombre d' entre(2) son malaise par rapport au texte que(2) propose le gouvernement et on pourrait se retrouver autour de(2) ces propositions d' agents civils 
LCP_LCPActu14h_2013-01-09_135400 851.256 864.323 Brigitte_BOUCHER  48 6 13.067 12.1540000000001 0.779999999999859 0.111111111111111 0.0596923547868569 pas pour autant à l' ump n' a pas unanimité sur cette(2) question(2) du mariage pour tous(2) et de(2) l' adoption je propose d' entendre(2) à ce qu' on pensa Alain_Vidalies(2) le(2) ministre(2) des relations avec(2) le(2) parlement il était(4) elle invitée de(2) questions d' info(2) sur lcp 
LCP_LCPActu14h_2013-01-09_135400 865.137 884.676 Alain_VIDALIES  68 9 19.539 17.4999999999998 1.94999999999982 0.116883116883117 0.0998003992015875 dans ce(2) débat(3) aujourd'hui qui a été(2) très politisés par par l' ump qui d' une certaine façon un(2) peu les(2) délégués(5) des églises(2) catholiques(2) le(2) soin de(2) mener la bataille contre(2) le(2) gouvernement français le(2) polémiste(3) catholique d' ailleurs y(4) a un(2) piège qui a été étendue là et dans lequel(2) ils sont ils sont tombés un peu allègrement passer sous les(2) yeux(2) un(2) communiqué de(2) cette 
LCP_LCPActu14h_2013-01-09_135400 885.148 887.756 Alain_VIDALIES  6 1 2.608 2.21199999999999 0.32000000000005 0.142857142857143 0.122699386503087 sept secrétaires nationaux de l' ump 
LCP_LCPActu14h_2013-01-09_135400 888.224 897.83 Alain_VIDALIES  29 8 9.606 7.94599999999969 1.56000000000006 0.216216216216216 0.162398500936921 le(2) deux(2) du vingt deux novembre deux mille en hausse et qui demande à nicolas(3) sarkozy de(2) même dans son programme présidentiel le(2) mariage pour tous(2) le(2) mariage(2) homosexuel(2) 
LCP_LCPActu14h_2013-01-09_135400 897.83 902.328 Brigitte_BOUCHER  17 2 4.498 4.05000000000007 0.389999999999986 0.105263157894737 0.0867052023121357 Daniel_Fasquelle(2) est ce que(2) vous reconnaissez quand même que l' ump vous(2) êtes partagés sur cette question(2) 
LCP_LCPActu14h_2013-01-09_135400 902.328 920.238 Daniel_FASQUELLE  54 16 17.91 14.3899999999996 3.47199999999998 0.228571428571429 0.193858179787827 n' est pas tant que ça en fait(2) parce que(2) c' est vrai que(2) certains souhaitée(2) le(2) mariage pour tous(2) axel poniatowski(2) de(2) veille(3) d' ailleurs que(2) voter pour la proposition de loi socialiste ouvrant le mariage aux couples homosexuels(2) durant la précédente législature est venu nous rejoindre le soutien maintenant(3) l' audience civile 
